phenotype_abbreviated	phenotype	category
krt_cbc_total_wbcs_sqrt_transformed	total white blood cells	Complete Blood Count (CBC)
krt_cbc_abs_neutrophils_sqrt_transformed	absolute neutrophils	Complete Blood Count (CBC)
krt_cbc_abs_lymphocytes_sqrt_transformed	absolute lymphocytes	Complete Blood Count (CBC)
krt_cbc_abs_monocytes_sqrt_transformed	absolute monocytes	Complete Blood Count (CBC)
krt_cbc_abs_eosinophils_sqrt_transformed	absolute eosinophils	Complete Blood Count (CBC)
krt_cbc_rel_lymphocytes_sqrt_transformed	relative lymphocytes	Complete Blood Count (CBC)
krt_cbc_rel_monocytes_sqrt_transformed	relative monocytes	Complete Blood Count (CBC)
krt_cbc_rel_eosinophils_sqrt_transformed	relative eosinophils	Complete Blood Count (CBC)
krt_cbc_rbc_sqrt_transformed	red blood cells	Complete Blood Count (CBC)
krt_cbc_hgb_sqrt_transformed	hemoglobin	Complete Blood Count (CBC)
krt_cbc_hct_sqrt_transformed	hematocrit	Complete Blood Count (CBC)
krt_cbc_mcv_sqrt_transformed	mean corpuscular volume	Complete Blood Count (CBC)
krt_cbc_mch_sqrt_transformed	mean corpuscular hemoglobin	Complete Blood Count (CBC)
krt_cbc_mchc_sqrt_transformed	mean corpuscular hemoglobin concentration	Complete Blood Count (CBC)
krt_cbc_mpv_sqrt_transformed	mean platelet volume	Complete Blood Count (CBC)
krt_cbc_rdw_sqrt_transformed	red blood cell width distribution	Complete Blood Count (CBC)
krt_cbc_plt_sqrt_transformed	platelet	Complete Blood Count (CBC)
krt_cbc_pct_sqrt_transformed	plateletcrit	Complete Blood Count (CBC)
krt_cbc_retic_abs_sqrt_transformed	absolute reticulocytes	Complete Blood Count (CBC)
krt_cp_total_protein_value_ln_transformed	total protein	Blood Chemistry Panel
krt_cp_albumin_value_ln_transformed	albumin	Blood Chemistry Panel
krt_cp_globulins_value_ln_transformed	globulins	Blood Chemistry Panel
krt_cp_alb_glob_ratio_value_ln_transformed	albumin globulin ratio	Blood Chemistry Panel
krt_cp_magnesium_value_ln_transformed	magnesium	Blood Chemistry Panel
krt_cp_bun_value_ln_transformed	blood urea nitrogen	Blood Chemistry Panel
krt_cp_creatinine_value_ln_transformed	creatinine	Blood Chemistry Panel
krt_cp_bilirubin_total_value_ln_transformed	total bilirubin	Blood Chemistry Panel
krt_cp_alkp_value_ln_transformed	alkaline phosphatase	Blood Chemistry Panel
krt_cp_alt_value_ln_transformed	alanine aminotransferase	Blood Chemistry Panel
krt_cp_amylase_value_ln_transformed	amylase	Blood Chemistry Panel
krt_cp_cholesterol_value_ln_transformed	cholesterol	Blood Chemistry Panel
krt_cp_sodium_value_ln_transformed	sodium	Blood Chemistry Panel
krt_cp_potassium_value_ln_transformed	potassium	Blood Chemistry Panel
krt_cp_sp_ratio_value_ln_transformed	sodium potassium ratio	Blood Chemistry Panel
