phenotype	sample_size
krt_cbc_abs_eosinophils_sqrt_transformed	989
krt_cbc_abs_lymphocytes_sqrt_transformed	989
krt_cbc_abs_monocytes_sqrt_transformed	989
krt_cbc_abs_neutrophils_sqrt_transformed	989
krt_cbc_hct_sqrt_transformed	994
krt_cbc_hgb_sqrt_transformed	994
krt_cbc_mch_sqrt_transformed	994
krt_cbc_mchc_sqrt_transformed	994
krt_cbc_mcv_sqrt_transformed	994
krt_cbc_mpv_sqrt_transformed	991
krt_cbc_pct_sqrt_transformed	991
krt_cbc_plt_sqrt_transformed	779
krt_cbc_rbc_sqrt_transformed	994
krt_cbc_rdw_sqrt_transformed	994
krt_cbc_rel_eosinophils_sqrt_transformed	989
krt_cbc_rel_lymphocytes_sqrt_transformed	989
krt_cbc_rel_monocytes_sqrt_transformed	989
krt_cbc_retic_abs_sqrt_transformed	993
krt_cbc_total_wbcs_sqrt_transformed	994
krt_cp_alb_glob_ratio_value_ln_transformed	1044
krt_cp_albumin_value_ln_transformed	1044
krt_cp_alkp_value_ln_transformed	1044
krt_cp_alt_value_ln_transformed	1044
krt_cp_amylase_value_ln_transformed	1044
krt_cp_bilirubin_total_value_ln_transformed	1044
krt_cp_bun_value_ln_transformed	1044
krt_cp_cholesterol_value_ln_transformed	1044
krt_cp_creatinine_value_ln_transformed	1044
krt_cp_globulins_value_ln_transformed	1044
krt_cp_magnesium_value_ln_transformed	1043
krt_cp_potassium_value_ln_transformed	1044
krt_cp_sodium_value_ln_transformed	1044
krt_cp_sp_ratio_value_ln_transformed	1044
krt_cp_total_protein_value_ln_transformed	1044
