phenotype	sample_size
afus_dora_1_excited_food	4789
afus_dora_10_runs_around_alot	4789
afus_dora_11_interested_eating_after_meal	4789
afus_dora_12_slow_eater	4789
afus_dora_13_eats_treats_quickly	4789
afus_dora_14_human_food_during_meals	4789
afus_dora_15_eat_anything	4789
afus_dora_16_very_fit	4789
afus_dora_17_human_food_often	4789
afus_dora_18_upset_stomach_some_foods	4789
afus_dora_19_should_lose_weight	4789
afus_dora_2_most_walks_off_leash	4789
afus_dora_20_most_walks_on_leash	4789
afus_dora_22_diet_to_control_weight	4789
afus_dora_23_hungry_all_time	4789
afus_dora_24_walks_high_energy	4789
afus_dora_25_careful_dogs_weight	4789
afus_dora_26_sensitive_stomach	4789
afus_dora_27_very_greedy	4789
afus_dora_28_vet_often_for_health_problems	4789
afus_dora_29_happy_dogs_weight	4789
afus_dora_3_human_leftovers_in_bowl	4789
afus_dora_30_measure_dogs_food	4789
afus_dora_31_regulate_exercise_for_weight	4789
afus_dora_32_gets_lots_of_exercise	4789
afus_dora_33_upset_stomach_often	4789
afus_dora_34_no_human_food_during_meals	4789
afus_dora_35_eat_non_food_objects	4789
afus_dora_4_waits_for_scraps	4789
afus_dora_5_choosy_treats	4789
afus_dora_6_waits_during_food_prep	4789
afus_dora_7_turns_down_food	4789
afus_dora_8_finishes_meal_quickly	4789
afus_dora_9_inspects_unfamilar_foods	4789
afus_mdors_1_play_games	4789
afus_mdors_10_get_through_tough_times	4789
afus_mdors_11_dog_for_comfort	4789
afus_mdors_12_close_proximity	4789
afus_mdors_13_constant_companionship	4789
afus_mdors_14_there_for_me	4789
afus_mdors_15_reason_to_get_up	4789
afus_mdors_16_never_apart	4789
afus_mdors_17_constantly_attentive	4789
afus_mdors_18_share_secrets	4789
afus_mdors_19_trauma_of_death	4789
afus_mdors_2_treats	4789
afus_mdors_20_care_is_chore	4789
afus_mdors_21_interferes_with_activities	4789
afus_mdors_23_annoying_to_change_plans	4789
afus_mdors_24_stopped_enjoyable_activities	4789
afus_mdors_25_dont_like_ownership	4789
afus_mdors_26_makes_mess	4789
afus_mdors_27_costs_money	4789
afus_mdors_28_hard_to_care_for	4789
afus_mdors_3_kiss	4789
afus_mdors_4_dog_in_car	4789
afus_mdors_7_grooming_frequency	4789
afus_mdors_8_visiting_other_people	4789
afus_mdors_9_buy_presents	4789
cslb_active_6mo	6773
cslb_avoid	6773
cslb_find_food	6773
cslb_pace	6773
db_aggression_level_delivery_workers_at_home	7328
db_aggression_level_familiar_dog_while_eating	4692
db_aggression_level_familiar_dog_while_playing	4902
db_aggression_level_on_leash_unknown_dog	7310
db_aggression_level_on_leash_unknown_human	7342
db_aggression_level_unknown_aggressive_dog	7219
db_aggression_level_unknown_human_near_yard	7313
db_attention_seeking_follows_humans_frequency	7365
db_attention_seeking_sits_close_to_humans_frequency	7372
db_barks_frequency	7370
db_chases_birds_frequency	7346
db_chases_squirrels_frequency	7313
db_chases_tail_frequency	7342
db_chews_inappropriate_objects_frequency	7350
db_energetic_frequency	7325
db_escapes_home_or_property_frequency	7299
db_excitement_level_before_car_ride	7358
db_excitement_level_before_walk	7355
db_fear_level_bathed_at_home	7281
db_fear_level_loud_noises	7352
db_fear_level_nails_clipped_at_home	6993
db_fear_level_unknown_aggressive_dog	7210
db_fear_level_unknown_dogs	7302
db_fear_level_unknown_human_away_from_home	7324
db_fear_level_unknown_human_touch	7334
db_fear_level_unknown_objects_outside	7338
db_fear_level_unknown_situations	7331
db_hyperactive_frequency	7343
db_left_alone_barking_frequency	7355
db_left_alone_restlessness_frequency	7310
db_left_alone_scratching_frequency	7353
db_playful_frequency	7362
db_pulls_leash_frequency	7318
db_training_distraction_frequency	7370
db_training_obeys_sit_command_frequency	7353
db_training_obeys_stay_command_frequency	7302
dd_weight_lbs	7378
de_air_cleaner_present	7335
de_air_freshener_present	7338
de_daytime_sleep_avg_hours	6623
de_drinks_outdoor_water_frequency	7378
de_drinks_outdoor_water	7378
de_eats_feces	7073
de_eats_grass_frequency	7378
de_gas_fireplace_present	7346
de_hepa_present	7097
de_incense_present	7354
de_interacts_with_neighborhood_animals	7378
de_interacts_with_neighborhood_humans	7378
de_licks_chews_or_plays_with_non_toys	7378
de_nighttime_sleep_avg_hours	7240
de_recent_toxins_or_hazards_ingested_frequency	7378
de_wood_fireplace_present	7344
df_appetite	6965
df_daily_supplements	6965
df_ever_overweight	6660
df_feedings_per_day	6965
df_secondary_diet_component_used	6965
df_treats_frequency	6965
hs_chronic_condition_present	7378
hs_chronic_condition_recently_changed_or_treated	1853
hs_general_health	7378
hs_new_condition_diagnosed_last_month	855
mp_dental_extraction	1746
mp_dental_procedure_undergone	7378
pa_activity_level	7378
pa_avg_activity_intensity	7378
pa_avg_daily_active_hours	7378
pa_cold_weather_daily_hours_outside	6334
pa_hot_weather_daily_hours_outside	6877
pa_moderate_weather_daily_hours_outside	7377
pa_off_leash_walk_average_pace_pct	2975
pa_off_leash_walk_avg_hours	2975
pa_off_leash_walk_brisk_pace_pct	2975
pa_off_leash_walk_frequency	7378
pa_off_leash_walk_in_enclosed_area	2975
pa_off_leash_walk_in_open_area	2975
pa_off_leash_walk_returns_when_called_frequency	2975
pa_off_leash_walk_run_pace_pct	2975
pa_on_leash_walk_average_pace_pct	7110
pa_on_leash_walk_avg_hours	7110
pa_on_leash_walk_brisk_pace_pct	7110
pa_on_leash_walk_frequency	7378
pa_other_aerobic_activity_avg_hours	3614
pa_other_aerobic_activity_avg_intensity	3614
pa_other_aerobic_activity_frequency	7378
pa_physical_games_frequency	7378
pa_swim_cold_weather_frequency	1920
pa_swim_hot_weather_frequency	2005
pa_swim_moderate_weather_frequency	2325
pa_swim	7378
1-3-Methylhistidine	818
1-Methylnicotinamide	818
2-Aminoadipate	818
2-Deoxycytidine	818
2-Hydroxyglutarate	818
2-Hydroxyisobutyrate-2-Hydroxybutyrate	818
3-Hydroxyisovaleric-Acid	818
3-Indoxyl-Sulfate	818
3-Methyl-3-Hydroxyglutaric-Acid	818
3HBA	818
4-Guanidinobutanoate	818
4-Hydroxybenzoic-Acid	818
5-6-Dihydrouracil	818
5-Aminovaleric-Acid	818
5-Methylcytidine	818
7-Methylguanine	818
Acetylcarnitine	818
Adenosine	818
Adenylosuccinate	818
Agmatine	818
Alanine	818
Allantoin	818
Alpha-Ketoglutaric-Acid	818
alpha-Tocopherol	818
Aminolevulinate	818
Anserine	818
Arabitol-Xylitol	818
Arachidonate	818
Arginine	818
Asparagine	818
Aspartic-Acid	818
Azelaic-Acid	818
Betaine	818
Cadaverine	818
Carnitine	818
Carnosine	818
Cholesteryl-Sulfate	818
Choline	818
Citraconic-Acid	818
Citrulline	818
Creatine	818
Creatinine	818
Cystathionine	818
Cystine	818
Cytidine	818
D-Leucic-Acid	818
Deoxycarnitine	818
Dimethylarginine-A-SDMA	818
Dimethylglycine	818
Epinephrine	818
Ethanolamine	818
Ethylmalonic-acid	818
FAD	818
G6P	818
gamma-Aminobutyrate	818
Glucoronate	818
Glucose	818
Glutamic-acid	818
Glutamine	818
Glutaric-Acid	818
Glutarylcarnitine	818
Glyceraldehyde	818
Glycerol-3-P	818
Glycerophosphocholine	818
Glycine	818
Guanidinoacetate	818
Histidine	818
Homoarginine	818
Homocitrulline	818
Hydroxyproline	818
Hypotaurine	818
Hypoxanthine	818
Imidazole-Propionate	818
Indole-3-Acetic-Acid	818
Indole-3-Lactate	818
Indole-3-Propionate	818
Inositol	818
iso-Leucine--allo-isoLeucine	818
isoValerylcarnitine	818
Kynurenic-Acid	818
L-Kynurenine	818
Lactate	818
Leucine--D-Norleucine	818
Linoleic-Acid	818
Linolenic-Acid	818
Lysine	818
Maleic-Acid	818
Margaric-Acid	818
Methionine	818
Methionine-Sulfoxide	818
N-Ac-Alanine	818
N-Ac-Glutamate	818
N-Ac-L-Glutamine	818
N-Ac-Phenylalanine	818
N-Ac-Tryptophan	818
N-Acetyl-Aspartate-NAA	818
N-AcetylGlycine	818
N-Acetylneuraminate	818
N-Carbamoyl-B-Alanine	818
n-Formylmethionine	818
N2-N2-Dimethylguanosine	818
N6-Acetyl-Lysine	818
N6-Trimethyllysine	818
Ornithine	818
Orotate	818
Oxalacetate	818
Oxidized-Glutathione	818
Palmitic-Acid	818
Pantothenate	818
Phenylacetylglutamine	818
Phenylalanine	818
Phenyllactic-Acid	818
PPA	818
Proline	818
Pseudouridine	818
Pyroglutamic-Acid	818
Pyruvate	818
Reduced-Glutathione	818
Riboflavin	818
S-Methylcysteine	818
SAH	818
Sarcosine	818
Serine	818
Suberic-Acid	818
Succinate	818
Succinylcarnitine	818
Taurine	818
Thiamine	818
Threonine	818
Trigonelline	818
Trimethylamine-N-Oxide-TMAO	818
Tryptophan	818
Tyrosine	818
Uracil	818
Urate	818
Valine	818
Xanthine	818
