phenotype	category
afus_dora_10_runs_around_alot	Eating Behavior
afus_dora_11_interested_eating_after_meal	Eating Behavior
afus_dora_12_slow_eater	Eating Behavior
afus_dora_13_eats_treats_quickly	Eating Behavior
afus_dora_14_human_food_during_meals	Eating Behavior
afus_dora_15_eat_anything	Eating Behavior
afus_dora_16_very_fit	Eating Behavior
afus_dora_17_human_food_often	Eating Behavior
afus_dora_18_upset_stomach_some_foods	Eating Behavior
afus_dora_19_should_lose_weight	Eating Behavior
afus_dora_1_excited_food	Eating Behavior
afus_dora_20_most_walks_on_leash	Eating Behavior
afus_dora_22_diet_to_control_weight	Eating Behavior
afus_dora_23_hungry_all_time	Eating Behavior
afus_dora_24_walks_high_energy	Eating Behavior
afus_dora_25_careful_dogs_weight	Eating Behavior
afus_dora_26_sensitive_stomach	Eating Behavior
afus_dora_27_very_greedy	Eating Behavior
afus_dora_28_vet_often_for_health_problems	Eating Behavior
afus_dora_29_happy_dogs_weight	Eating Behavior
afus_dora_2_most_walks_off_leash	Eating Behavior
afus_dora_30_measure_dogs_food	Eating Behavior
afus_dora_31_regulate_exercise_for_weight	Eating Behavior
afus_dora_32_gets_lots_of_exercise	Eating Behavior
afus_dora_33_upset_stomach_often	Eating Behavior
afus_dora_34_no_human_food_during_meals	Eating Behavior
afus_dora_35_eat_non_food_objects	Eating Behavior
afus_dora_3_human_leftovers_in_bowl	Eating Behavior
afus_dora_4_waits_for_scraps	Eating Behavior
afus_dora_5_choosy_treats	Eating Behavior
afus_dora_6_waits_during_food_prep	Eating Behavior
afus_dora_7_turns_down_food	Eating Behavior
afus_dora_8_finishes_meal_quickly	Eating Behavior
afus_dora_9_inspects_unfamilar_foods	Eating Behavior
afus_mdors_10_get_through_tough_times	Dog Owner Relationship
afus_mdors_11_dog_for_comfort	Dog Owner Relationship
afus_mdors_12_close_proximity	Dog Owner Relationship
afus_mdors_13_constant_companionship	Dog Owner Relationship
afus_mdors_14_there_for_me	Dog Owner Relationship
afus_mdors_15_reason_to_get_up	Dog Owner Relationship
afus_mdors_16_never_apart	Dog Owner Relationship
afus_mdors_17_constantly_attentive	Dog Owner Relationship
afus_mdors_18_share_secrets	Dog Owner Relationship
afus_mdors_19_trauma_of_death	Dog Owner Relationship
afus_mdors_1_play_games	Dog Owner Relationship
afus_mdors_20_care_is_chore	Dog Owner Relationship
afus_mdors_21_interferes_with_activities	Dog Owner Relationship
afus_mdors_23_annoying_to_change_plans	Dog Owner Relationship
afus_mdors_24_stopped_enjoyable_activities	Dog Owner Relationship
afus_mdors_25_dont_like_ownership	Dog Owner Relationship
afus_mdors_26_makes_mess	Dog Owner Relationship
afus_mdors_27_costs_money	Dog Owner Relationship
afus_mdors_28_hard_to_care_for	Dog Owner Relationship
afus_mdors_2_treats	Dog Owner Relationship
afus_mdors_3_kiss	Dog Owner Relationship
afus_mdors_4_dog_in_car	Dog Owner Relationship
afus_mdors_7_grooming_frequency	Dog Owner Relationship
afus_mdors_8_visiting_other_people	Dog Owner Relationship
afus_mdors_9_buy_presents	Dog Owner Relationship
cslb_active_6mo	Canine Social and Learned Behavior
cslb_avoid	Canine Social and Learned Behavior
cslb_find_food	Canine Social and Learned Behavior
cslb_pace	Canine Social and Learned Behavior
