phenotype	phenotype_display_name	category
afus_dora_10_runs_around_alot	afus_dora_10_runs_around_alot	Eating
afus_dora_11_interested_eating_after_meal	afus_dora_11_interested_eating_after_meal	Eating
afus_dora_12_slow_eater	afus_dora_12_slow_eater	Eating
afus_dora_13_eats_treats_quickly	afus_dora_13_eats_treats_quickly	Eating
afus_dora_14_human_food_during_meals	afus_dora_14_human_food_during_meals	Eating
afus_dora_15_eat_anything	afus_dora_15_eat_anything	Eating
afus_dora_16_very_fit	afus_dora_16_very_fit	Eating
afus_dora_17_human_food_often	afus_dora_17_human_food_often	Eating
afus_dora_18_upset_stomach_some_foods	afus_dora_18_upset_stomach_some_foods	Eating
afus_dora_19_should_lose_weight	afus_dora_19_should_lose_weight	Eating
afus_dora_1_excited_food	afus_dora_1_excited_food	Eating
afus_dora_20_most_walks_on_leash	afus_dora_20_most_walks_on_leash	Eating
afus_dora_22_diet_to_control_weight	afus_dora_22_diet_to_control_weight	Eating
afus_dora_23_hungry_all_time	afus_dora_23_hungry_all_time	Eating
afus_dora_24_walks_high_energy	afus_dora_24_walks_high_energy	Eating
afus_dora_25_careful_dogs_weight	afus_dora_25_careful_dogs_weight	Eating
afus_dora_26_sensitive_stomach	afus_dora_26_sensitive_stomach	Eating
afus_dora_27_very_greedy	afus_dora_27_very_greedy	Eating
afus_dora_28_vet_often_for_health_problems	afus_dora_28_vet_often_for_health_problems	Eating
afus_dora_29_happy_dogs_weight	afus_dora_29_happy_dogs_weight	Eating
afus_dora_2_most_walks_off_leash	afus_dora_2_most_walks_off_leash	Eating
afus_dora_30_measure_dogs_food	afus_dora_30_measure_dogs_food	Eating
afus_dora_31_regulate_exercise_for_weight	afus_dora_31_regulate_exercise_for_weight	Eating
afus_dora_32_gets_lots_of_exercise	afus_dora_32_gets_lots_of_exercise	Eating
afus_dora_33_upset_stomach_often	afus_dora_33_upset_stomach_often	Eating
afus_dora_34_no_human_food_during_meals	afus_dora_34_no_human_food_during_meals	Eating
afus_dora_35_eat_non_food_objects	afus_dora_35_eat_non_food_objects	Eating
afus_dora_3_human_leftovers_in_bowl	afus_dora_3_human_leftovers_in_bowl	Eating
afus_dora_4_waits_for_scraps	afus_dora_4_waits_for_scraps	Eating
afus_dora_5_choosy_treats	afus_dora_5_choosy_treats	Eating
