phenotype	pheweb_phenotype_name	pheweb_phenotype_category	sample_size
afus_dora_1_excited_food	afus_dora_1_excited_food	Eating Behavior	4789
afus_dora_10_runs_around_alot	afus_dora_10_runs_around_alot	Eating Behavior	4789
afus_dora_11_interested_eating_after_meal	afus_dora_11_interested_eating_after_meal	Eating Behavior	4789
afus_dora_12_slow_eater	afus_dora_12_slow_eater	Eating Behavior	4789
afus_dora_13_eats_treats_quickly	afus_dora_13_eats_treats_quickly	Eating Behavior	4789
afus_dora_14_human_food_during_meals	afus_dora_14_human_food_during_meals	Eating Behavior	4789
afus_dora_15_eat_anything	afus_dora_15_eat_anything	Eating Behavior	4789
afus_dora_16_very_fit	afus_dora_16_very_fit	Eating Behavior	4789
afus_dora_17_human_food_often	afus_dora_17_human_food_often	Eating Behavior	4789
afus_dora_18_upset_stomach_some_foods	afus_dora_18_upset_stomach_some_foods	Eating Behavior	4789
afus_dora_19_should_lose_weight	afus_dora_19_should_lose_weight	Eating Behavior	4789
afus_dora_2_most_walks_off_leash	afus_dora_2_most_walks_off_leash	Eating Behavior	4789
afus_dora_20_most_walks_on_leash	afus_dora_20_most_walks_on_leash	Eating Behavior	4789
afus_dora_22_diet_to_control_weight	afus_dora_22_diet_to_control_weight	Eating Behavior	4789
afus_dora_23_hungry_all_time	afus_dora_23_hungry_all_time	Eating Behavior	4789
afus_dora_24_walks_high_energy	afus_dora_24_walks_high_energy	Eating Behavior	4789
afus_dora_25_careful_dogs_weight	afus_dora_25_careful_dogs_weight	Eating Behavior	4789
afus_dora_26_sensitive_stomach	afus_dora_26_sensitive_stomach	Eating Behavior	4789
afus_dora_27_very_greedy	afus_dora_27_very_greedy	Eating Behavior	4789
afus_dora_28_vet_often_for_health_problems	afus_dora_28_vet_often_for_health_problems	Eating Behavior	4789
afus_dora_29_happy_dogs_weight	afus_dora_29_happy_dogs_weight	Eating Behavior	4789
afus_dora_3_human_leftovers_in_bowl	afus_dora_3_human_leftovers_in_bowl	Eating Behavior	4789
afus_dora_30_measure_dogs_food	afus_dora_30_measure_dogs_food	Eating Behavior	4789
afus_dora_31_regulate_exercise_for_weight	afus_dora_31_regulate_exercise_for_weight	Eating Behavior	4789
afus_dora_32_gets_lots_of_exercise	afus_dora_32_gets_lots_of_exercise	Eating Behavior	4789
afus_dora_33_upset_stomach_often	afus_dora_33_upset_stomach_often	Eating Behavior	4789
afus_dora_34_no_human_food_during_meals	afus_dora_34_no_human_food_during_meals	Eating Behavior	4789
afus_dora_35_eat_non_food_objects	afus_dora_35_eat_non_food_objects	Eating Behavior	4789
afus_dora_4_waits_for_scraps	afus_dora_4_waits_for_scraps	Eating Behavior	4789
afus_dora_5_choosy_treats	afus_dora_5_choosy_treats	Eating Behavior	4789
afus_dora_6_waits_during_food_prep	afus_dora_6_waits_during_food_prep	Eating Behavior	4789
afus_dora_7_turns_down_food	afus_dora_7_turns_down_food	Eating Behavior	4789
afus_dora_8_finishes_meal_quickly	afus_dora_8_finishes_meal_quickly	Eating Behavior	4789
afus_dora_9_inspects_unfamilar_foods	afus_dora_9_inspects_unfamilar_foods	Eating Behavior	4789
afus_mdors_1_play_games	afus_mdors_1_play_games	Dog Owner Relationship	4789
afus_mdors_10_get_through_tough_times	afus_mdors_10_get_through_tough_times	Dog Owner Relationship	4789
afus_mdors_11_dog_for_comfort	afus_mdors_11_dog_for_comfort	Dog Owner Relationship	4789
afus_mdors_12_close_proximity	afus_mdors_12_close_proximity	Dog Owner Relationship	4789
afus_mdors_13_constant_companionship	afus_mdors_13_constant_companionship	Dog Owner Relationship	4789
afus_mdors_14_there_for_me	afus_mdors_14_there_for_me	Dog Owner Relationship	4789
afus_mdors_15_reason_to_get_up	afus_mdors_15_reason_to_get_up	Dog Owner Relationship	4789
afus_mdors_16_never_apart	afus_mdors_16_never_apart	Dog Owner Relationship	4789
afus_mdors_17_constantly_attentive	afus_mdors_17_constantly_attentive	Dog Owner Relationship	4789
afus_mdors_18_share_secrets	afus_mdors_18_share_secrets	Dog Owner Relationship	4789
afus_mdors_19_trauma_of_death	afus_mdors_19_trauma_of_death	Dog Owner Relationship	4789
afus_mdors_2_treats	afus_mdors_2_treats	Dog Owner Relationship	4789
afus_mdors_20_care_is_chore	afus_mdors_20_care_is_chore	Dog Owner Relationship	4789
afus_mdors_21_interferes_with_activities	afus_mdors_21_interferes_with_activities	Dog Owner Relationship	4789
afus_mdors_23_annoying_to_change_plans	afus_mdors_23_annoying_to_change_plans	Dog Owner Relationship	4789
afus_mdors_24_stopped_enjoyable_activities	afus_mdors_24_stopped_enjoyable_activities	Dog Owner Relationship	4789
afus_mdors_25_dont_like_ownership	afus_mdors_25_dont_like_ownership	Dog Owner Relationship	4789
